name,mono,t1,t2,theme,public
awesome-archimate,AM,ArchiMate,,Enterprise architecture modeling language and Open Group ArchiMate practice.,1
awesome-stpa,ST,STPA,,Hazard analysis and system-theoretic process analysis for safety-critical systems.,1
awesome-capella,CA,Capella,,Model-based systems engineering with Capella and the Arcadia method.,1
awesome-digital-engineering,DE,Digital,Engineering,Digital engineering methods tools and practice for engineered systems.,1
awesome-sysml-v2,S2,SysML,v2,Systems Modeling Language version 2 specifications tools and models.,1
awesome-magicgrid-mbse,MG,MagicGrid,MBSE,MagicGrid method and MBSE practice for systems modeling toolchains.,1
awesome-enterprise-architect,EA,Enterprise,Architect,Enterprise Architect tooling and practice resources.,1
awesome-sparx-ea,SE,Sparx,EA,Sparx Systems Enterprise Architect resources and practice.,1
awesome-magic-grid,MG,Magic,Grid,MagicGrid MBSE method resources.,1
awesome-mbse,MB,MBSE,,Model-based systems engineering methods tools and openable models.,0
